Project,工作內容,工作說明,請求協助,夥伴,交付日期,状态,最新更新日期,開始日期,專案進度,PM,專案名稱,Status,Priority,Assignee,Due,Parent-task,Sub-tasks,Summary,Multi-select,夥伴 1,夥伴 2,項目編號,Figma 文件,文本
iii Find科技服務工具 (https://www.notion.so/iii-Find-1842fd085e5f80daa2c0daaab0290832?pvs=21),AWS報價+收費服務項目,2025/2/7(五)前喬思齊提供AWS的細項收費與喬思齊代管具體工作項目，並且提供AWS帳號讓資策會可以登入使用(資策會擁有帳號最高管理權限),,Sunny,2025/02/05,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院進度會議,,,"Anita, Echo",2025/02/04 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),回覆驗收內容會議,,,"Anita, Echo, Sunny",2025/02/04 11:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),2/3會議紀錄,"2月 3日 (星期一) · 上午11:00 - 下午12:00 線上跳蛙會議紀錄
第1點 推播功能無作用、推播指定會員推播
推播功能無作用：我端進行排查中，預計02/05前有結論  部分單獨發的話就是手KEY Email 這部分第二階段進行開發

第2點 App的通知提示圖示沒有顯示有新通知訊息
我端進行排查中，預計02/05前有結論

第3點 多日票金額溢收(基隆客運內科-萬里)
溢收金額的部分目前SA同仁協助查詢為何會多溢收款項，預計02/04給出回應

第4點 月票售完坐釋出的數量問題。
每個月一號會排程釋放月票歸0出給多日與單程票使用
請協助給一個邏輯避開目前保留座位造成排程失效的問題
月票歸0 算式存在 導致多出來的票算在多日單日票
要反算已經售出的月票
※這部分02/03下午三點多一點已經處理並測試完畢，現在線上前端已經排除超賣狀況※

第5點 綠界回應系統來不及處理的問題。
查詢後，系統交易在20秒內處理完畢
A. 第一筆訂單交易時間與刷卡成功時間2025-01-25 09:04:34.5133333  綠界接收到您的request時間為2025/01/25 09:04:47  2025-01-25 09:07:11.000
B. 第二筆訂單交易時間與刷卡成功時間2025-01-25 09:09:17.2566667  綠界接收到您的request時間為2025/01/25 09:09:37  2025-01-25 09:11:33.687
這部分目前判斷是系統伺服器處理不夠即時的情形，未來還有該狀況就決議以增加VM前端設備為目前解決方式

第6點 指定席的必要性及統一回覆說法討論
指訂席部分由於技術端同仁並非相關專業，還請相關長官協助提供一個統一的說明方式

第7點 1200核銷討論
已經有要到XML格式，看能不能要到JSON的格式，每條跳蛙路線都要申請可以加入1200才能使用核銷，業者同仁要編好 然後向悠遊卡 票證公司 與新北交通局進行申請
格式會後會提出，用路線代碼跟卡號來去核銷
這部分請參照稍早副理的回應",,Echo,2025/02/04,未开始,,,,,,Not started,,,,,,,,,,,,
25104 海底映像 (https://www.notion.so/25104-17e2fd085e5f802ba4dfd4f33caa3bbc?pvs=21),海底的網站需求,會後討論,,Ing,2025/02/04,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院table,,,Jason,2025/02/04,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),頁面製作,,,姿樺,2025/02/04,未开始,,,,,,Not started,,,,,,,,,,,,
25106 搬家 (https://www.notion.so/25106-17e2fd085e5f80ffab19fb5a1ffc409b?pvs=21),新辦公室設計,,,小溫,2025/02/04,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),進度會議,,,"Anita, Echo, Miles",2025/02/03 15:00 (GMT+8),未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),教育訓練,FAQ/應用方案/開發工具,,,2025/02/03 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),PNS 2.0 官網會議,,,"Echo, Ing",2025/02/03 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),11:00問題回報會議,問題回報,,"Echo, Miles, VC",2025/02/03 13:10 (GMT+8),未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),"主要討論事項：
1、推播功能無作用、推播指定會員推播
2、App的通知提示圖示沒有顯示有新通知訊息
3、多日票金額溢收(基隆客運內科-萬里)
4、月票售完坐釋出的數量問題。
5、綠界回應系統來不及處理的問題。
6、指定席的必要性及統一回覆說法討論
7、1200核銷討論",業者+葦捷,,"Echo, Sunny",2025/02/03 11:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,,,,,,,
,敏捷專家協會-冬令營,2/3-2/7 等招生完畢再進行,,Sunny,2025/02/03,未开始,,,,,,Not started,,,,,,,,,,,,
25106 搬家 (https://www.notion.so/25106-17e2fd085e5f80ffab19fb5a1ffc409b?pvs=21),搬家事宜,漏水,,Jason,2025/02/03,未开始,,,,,,Not started,,,,,,,,,,,,
,AI工具,,,姿樺,2025/02/03,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),發函文(2/5前要收到),1/24 掛號寄出,,Echo,2025/02/03,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙2.0 開始使用搭乘,,,Echo,2025/02/03,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙問題處理,,,"Echo, Miles, VC",2025/02/03,未开始,,,,,,Not started,,,,,,,,,,,,
,欣桃簡士善往上挪為常務理事,"https://www.rocga.org.tw/supervisor
",,,2025/02/03,未开始,,,,,,Not started,,,,,,,,,,,,
龍爵士 (https://www.notion.so/1842fd085e5f802f8bdaddf702aabe8f?pvs=21),需求會議,,,Echo,2025/01/25 13:00 (GMT+8) → 14:00,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),上線前內部會議,"會議主題：
1.2/5上線注意事項
2.上線內容：
2.1 官網靜態頁
2.2 報名系統
3.報表
3.1 哪些是2/5前要完成的",,"Anita, Echo, Ing, VC",2025/01/24 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下會議,,,Sunny,2025/01/24 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),2/5 上線前會議,"會議主題：
1.2/5上線注意事項
2.上線內容：
2.1 官網靜態頁
2.2 報名系統
3.報表
3.1 哪些是2/5前要完成的",,"Anita, Echo, VC",2025/01/24 11:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,,,,,,,
iii Find科技服務工具 (https://www.notion.so/iii-Find-1842fd085e5f80daa2c0daaab0290832?pvs=21),"盤點工具,可以提供給iii做服務",2025/1/24(五)前喬思齊提供科技工具名稱與說明給資策會,,Sunny,2025/01/24,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙問題處理,,,"Echo, Miles, VC",2025/01/23,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),頁面製作,,,姿樺,2025/01/23,未开始,,,,,,Not started,,,,,,,,,,,,
25104 海底映像 (https://www.notion.so/25104-17e2fd085e5f802ba4dfd4f33caa3bbc?pvs=21),海底映象,"另一案:影音銷售-小溫
柔瑄：最高潛水教練課程-miles",,"Echo, Sunny",2025/01/22 14:00 (GMT+8) → 16:00,未开始,,,,,,Not started,,,,,,,,,,,,
龍爵士 (https://www.notion.so/1842fd085e5f802f8bdaddf702aabe8f?pvs=21),龍爵士/arowana,"預計今日匯款124000 不開發票
預訂移動螢幕一台(律師一台)",,"Echo, Sunny",2025/01/22 10:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,,,,,,,
iii Find科技服務工具 (https://www.notion.so/iii-Find-1842fd085e5f80daa2c0daaab0290832?pvs=21),會議,"1.AWS報價+收費服務項目
過完年2/7就要執行(工程師提供)豪哥刷卡,錢匯入公司,吃到飽,喬思齊代管

2.盤點AI工具,可以提供給iii做服務,長恩想法:建置在AWS上 , 工具名稱/說明(週五前)
提供試用（find會員扣點）

3.扣點點數的機制 ,點數iii會做設計2月17日(2月前要弄好),三月要上線
Find平台有扣點機制,透過api計算點數

4.客戶需要AI系統應用服務,iii轉介媒合,喬思齊做收入,退佣給iii(業務單位)-佣金比例?
",,"Echo, Sunny",2025/01/22,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),figma 設計稿＋設計簡報,"1/22 email 提供修改後的服務建議書及設計簡報。以下是Figma設計圖檔的連結，

Figma設計圖檔連結
(https://www.figma.com/design/3kIjDI3phXbdOCPm6vM5eq/%E4%BA%A4%E4%BB%98%EF%BC%BF%E6%96%87%E7%AD%96%E9%99%A2?node-id=0-1&t=RPOyCKa2tA3Ag2hv-1)",,Anita,2025/01/22,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康業務拜訪,"1.b2c驗收
2.剩兩場工作坊
3.送酒",,"Echo, Sunny",2025/01/21 14:00 (GMT+8) → 16:00,未开始,,,,,,Not started,,,,,,,,,,,,
金環球+亞買訊 / 移工旅遊 (https://www.notion.so/13d2fd085e5f802dbfd1ca54011690cf?pvs=21),移工旅遊合作案,四方合作架構洽談,,Sunny,2025/01/21,未开始,,,,,,Not started,,,,,,,,,,,,
,送酒,,,,2025/01/21,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙公車2.0 上線,八點準時上線準備,,"Echo, Jason, Miles, Sunny, VC",2025/01/20 8:00 (GMT+8) → 10:00,未开始,,,,,,Not started,,,,,,,,,,,,
25108 磐磯 花蓮特色街區行銷推廣 (https://www.notion.so/25108-17b2fd085e5f804ea101d9137091766f?pvs=21),花蓮簡報,,,Sunny,2025/01/20,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),教育訓練,下午兩點(帶公文過去),,"Anita, Sunny",2025/01/17,未开始,,,,,,Not started,,,,,,,,,,,,
,合作會議,,,Echo,,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),發函文(1/17前要收到),報名系統測試版完成,,Echo,2025/01/16,未开始,,,,,,Not started,,,,,,,,,,,,
,股東大會,,,Sunny,2025/01/15 11:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),官網確認,沒問題就交付工程師做後台,,"Echo, Ing",2025/01/15 10:30 (GMT+8) → 11:30,未开始,,,會議,,,Not started,,,,,,,,,,,,
,AI交流會,,,"Miles, Sunny",2025/01/14 10:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),報名系統Demo,,,"Anita, Echo, VC",2025/01/14 9:00 (GMT+8) → 9:00,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),頁面製作,,,姿樺,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院前後台頁面,下午五點進度會議,,Anita,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),實體驗收,,,Jason,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙web/app測試,ios/安卓都上線了..都更版完成了,,Echo,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),花蓮ai功能-新增類別,"問答類別


3.6 新增類別設定
 -新增修改刪除/純文字/最多八個字


1.1新增欄位-類別(單選)
 -放在問題跟回答中間


4.1 新增報表欄位-類別
  -放在時間區段與問題總數量中間",,"Echo, Miles",2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),花蓮ai驗收資料整理,使用者滿意度調查表-RFP 有,,Echo,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),1999 今年維護案維護合約,,,Brian,2025/01/14,未开始,,,,,,Done,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康faq功能交付echo測試,,,Brian,2025/01/14,未开始,,,,,,Done,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),Excel報表,1. User CRUD  2. Report,,,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),官網前後台,產品資訊,,,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
25108 磐磯 花蓮特色街區行銷推廣 (https://www.notion.so/25108-17b2fd085e5f804ea101d9137091766f?pvs=21),網站規劃與建置,,,Sunny,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
"25109 數轉院 行動智慧應用 輔導案 (淑姿) (https://www.notion.so/25109-17b2fd085e5f801e8ec1e7405c385765?pvs=21), 森福德 旅宿業 行動智慧應用推廣  (https://www.notion.so/1b52fd085e5f803fa421e9da1c036d2b?pvs=21)",行動智慧應用 推廣至商家,200家業者、2000萬效益,,Sunny,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
,網站設計、同業訂單系統,網站架構討論及報價,,Sunny,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
,環境教育與生態保育方案,澎湖珊瑚培育 (胡俊傑),,,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
喬思齊 員工旅遊 (https://www.notion.so/17b2fd085e5f80e18dfaddd000f19238?pvs=21),4月份 兩天一夜，員工及眷屬,宜蘭與花蓮 行程初步規劃完成,,,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
,Task,,,Jason,2024/12/02,未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),花蓮ai實體驗收會前會,智鈞 - 對合約內容,,"Echo, Jason",2025/01/13 15:00 (GMT+8) → 16:00,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),上線前會議,葦捷/修文/廷瑋,,Echo,2025/01/13 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康旺年會,,,"Echo, Sunny",2025/01/10 18:30 (GMT+8) → 21:30,未开始,,,,,,Not started,,,,,,,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),今皓合約結案確認,,,Echo,2025/01/10 11:00 (GMT+8) → 11:00,未开始,,,,,,Not started,,,,,,,,,,,,
,新店耳機廠拜訪,,,"Jason, Sunny",2025/01/10 11:00 (GMT+8) → 13:00,未开始,,,,,,Not started,,,,,,,,,,,,
,kiosk+移動客服影片拍攝,,,小溫,2025/01/14,未开始,,,,,,Not started,,,,,,,,,,,,
,Kiosk/移動式螢幕錄影,,,"Anita, Brian, Echo, Jason, Jean, 小溫",2025/01/10 10:20 (GMT+8) → 11:20,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),B2C驗收單,已完成公司首頁/公司簡介,,Echo,2025/01/10,未开始,,,,,,Not started,,,,,,,,,,,,
,豪哥朋友開資安公司的,"1.買五台螢幕
2.資安+AI報告模組",,Sunny,2025/01/10,未开始,,,,,,Not started,,,,,,,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙web/app 功能驗收,去雄獅找葦捷,,Echo,2025/01/09 13:00 (GMT+8) → 16:00,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下eip官網進度會議,,,"Echo, Ing",2025/01/07 17:00 (GMT+8) → 18:00,未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),花蓮AI設備裝整,到花蓮縣政府,,"Jason, Sunny",2025/01/07,未开始,,,,,,Not started,,,,,,,,,,,,
游博士 (https://www.notion.so/1702fd085e5f80c7865af01cc0061230?pvs=21),游博士來訪,,,Sunny,2025/01/06 14:30 (GMT+8) → 15:30,未开始,,,,,,Not started,,,,,,,,,,,,
,納智捷,,,Sunny,2025/01/06 10:40 (GMT+8) → 10:40,未开始,,,,,,Not started,,,,,,,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),資策會生活服務業入口媒體平台架構,喬思齊自架媒體平台,,"Echo, Ing, Sunny, 小溫",2025/01/06,未开始,,,,,,In progress,,,,,,No content,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),資策會生活服務業店家ai運用範圍分析,企業能用哪些ai工具,,"Sunny, 小溫",2025/01/06,未开始,,,,,,In progress,,,,,,No content,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),送酒,豪哥跟monica要過去談新案,,Sunny,2025/01/06,未开始,,,,,,Not started,,,,,,,,,,,,
,送酒,iii惠雯,,Sunny,2025/01/06,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),送酒,,,Sunny,2025/01/06,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),布農競賽需求會議,,,"Anita, Echo, VC",2025/01/03 14:00 (GMT+8) → 14:00,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院進度會議,進度會議主題:預算ui+demo前台html,,"Anita, Echo",2025/01/02 14:00 (GMT+8) → 14:00,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),議題:  1/17網站上要有的內容 + 各種表單列表,,,"Anita, Echo",2025/01/02 10:30 (GMT+8) → 11:30,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),派工維護記錄檔案提供,,,"Brian, Sam",2025/01/02,未开始,,,,,,Done,,,,,,,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),提醒花蓮1999窗口開vpn,,,Brian,2024/12/31,未开始,,,,,,Not started,,,,,,,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),今皓實體驗收,劭郁,,"Echo, Sunny, 亮廷",2024/12/26 13:30 (GMT+8) → 16:30,未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),花蓮AI教育訓練,,,Echo,2024/12/26 10:00 (GMT+8) → 11:00,未开始,,,,,,Not started,,,,,,,,,,,,
,游源淳,,,"Miles, Sunny",2024/12/25 14:30 (GMT+8) → 14:30,未开始,,,,,,Not started,,,,,,,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),今皓會前會,andy/劭郁,,Echo,2024/12/25 9:30 (GMT+8) → 9:30,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院進度會議,,,"Anita, Echo",2024/12/24 16:00 (GMT+8) → 17:00,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下官網需求會議,,,"Echo, Ing",2024/12/24 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
,電話線,,,Jason,2025/01/01,未开始,,,,,,Not started,,,,,,,,,,,,
睿德-宏捷節能 (https://www.notion.so/0e86b821d3944ae39e0ce7bfdff9777f?pvs=21),宏捷新增系統,,,Jason,2024/12/24,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),布農族開標簡報,"截止收件 12/24 0830
開標。     12/24 0900
簡報。     12/24  1030
議價。     12/24。1400",,Sunny,2024/12/24 → 2024/12/24,未开始,,,,,,Not started,,,,,,,,,,,,
友井 (https://www.notion.so/1442fd085e5f8004bf4fd0a628034c86?pvs=21),友井視訊會議,,,Sunny,2024/12/23 10:30 (GMT+8) → 10:30,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),進度會議,視訊,,"Anita, Echo",2024/12/19 17:00 (GMT+8) → 18:00,未开始,,,,,,Not started,,,,,,,,,,,,
